الاسم,السعرات الحرارية,البروتين,الكربوهيدرات,الدهون,الوحدة,جرامات الوحدة,وصف الحصة
خبز بلدي,250,8,50,1,شريحة,60,شريحة خبز بلدي
رز أبيض مطبوخ,130,2.5,28,0.3,نصف كوب,100,نصف كوب رز أبيض مطبوخ
عدس مسلوق,116,9,20,0.4,نصف كوب,100,نصف كوب عدس مسلوق
لبن زبادي قليل الدسم,60,5,6,1.5,علبة صغيرة,125,علبة صغيرة زبادي قليل الدسم
بيض مسلوق,78,6.3,0.6,5.3,بيضة,50,بيضة مسلوقة متوسطة الحجم
تفاح,52,0.3,14,0.2,ثمرة متوسطة,150,ثمرة تفاح متوسطة الحجم
موز,89,1.1,23,0.3,ثمرة متوسطة,120,ثمرة موز متوسطة الحجم
سلطة خضراء,25,1.2,5,0.2,طبق صغير,100,طبق سلطة خضراء صغير
سمك مشوي,180,22,0,10,قطعة متوسطة,120,قطعة سمك مشوي متوسطة
لحم بقري مشوي,250,26,0,15,قطعة متوسطة,100,قطعة لحم بقري مشوي متوسطة
دجاج مشوي,165,31,0,3.6,قطعة متوسطة,100,قطعة دجاج مشوي متوسطة
فول مدمس,110,9,20,0.5,نصف كوب,100,نصف كوب فول مدمس
حمص مسلوق,135,7,22,2.5,نصف كوب,100,نصف كوب حمص مسلوق
زيت زيتون,119,0,0,14,ملعقة طعام,13.5,ملعقة طعام زيت زيتون
جبنة قريش,98,11,3.4,4.3,نصف كوب,100,نصف كوب جبنة قريش
تمر,282,2.5,75,0.4,100 جرام,100,100 جرام تمر
برتقال,47,0.9,12,0.1,ثمرة متوسطة,130,ثمرة برتقال متوسطة
كوسا مطبوخة,17,1.2,3.1,0.3,نصف كوب,100,نصف كوب كوسا مطبوخة
باذنجان مشوي,35,0.8,9,0.2,نصف كوب,100,نصف كوب باذنجان مشوي
طماطم,18,0.9,3.9,0.2,ثمرة متوسطة,123,ثمرة طماطم متوسطة
خيار,16,0.7,3.6,0.1,ثمرة متوسطة,100,ثمرة خيار متوسطة
جزر,41,0.9,10,0.2,نصف كوب,61,نصف كوب جزر مقطع
بطاطا مسلوقة,87,1.9,20,0.1,نصف كوب,100,نصف كوب بطاطا مسلوقة
عسل نحل,304,0.3,82,0,ملعقة طعام,21,ملعقة طعام عسل نحل
شاي أخضر,0,0,0,0,كوب,240,كوب شاي أخضر بدون سكر
قهوة سوداء,2,0,0,0,كوب,240,كوب قهوة بدون سكر
لبن كامل الدسم,61,3.2,5,3.3,كوب,244,كوب لبن كامل الدسم
زبدة,717,0.85,0.1,81,ملعقة طعام,14,ملعقة طعام زبدة
كريمة حليب,52,0.3,0.6,5.5,ملعقة طعام,15,ملعقة طعام كريمة حليب
مكرونة مسلوقة,131,5,25,1,نصف كوب,100,نصف كوب مكرونة مسلوقة
فاصوليا خضراء مسلوقة,31,1.8,7,0.1,نصف كوب,100,نصف كوب فاصوليا خضراء
بطاطا مقلية,312,3.4,41,15,100 جرام,100,100 جرام بطاطا مقلية
بصل,40,1.1,9,0.1,نصف كوب,80,نصف كوب بصل مقطع
ثوم,149,6.4,33,0.5,100 جرام,100,100 جرام ثوم
ليمون,29,1.1,9,0.3,ثمرة متوسطة,58,ثمرة ليمون متوسطة
كزبرة خضراء,23,2.1,3.7,0.5,نصف كوب,16,نصف كوب كزبرة خضراء
نعناع,44,3,8,0.9,نصف كوب,24,نصف كوب نعناع طازج
بقدونس,36,3,6,0.8,نصف كوب,30,نصف كوب بقدونس طازج
فلفل حار,40,1.9,9,0.4,100 جرام,100,100 جرام فلفل حار
ذرة مسلوقة,96,3.4,21,1.5,نصف كوب,100,نصف كوب ذرة مسلوقة
قهوة عربية,2,0,0,0,كوب,240,كوب قهوة عربية بدون سكر
لبنة,136,6,4,10,ملعقة طعام,30,ملعقة طعام لبنة
حمص بالطحينة,180,7,20,8,نصف كوب,100,نصف كوب حمص بالطحينة
فلافل,333,13,30,18,5 قطع,150,5 قطع فلافل مقلية
كعك,350,8,50,15,قطعة,60,قطعة كعك
تونة معلبة,132,28,0,1,علبة صغيرة,80,علبة تونة صغيرة مصفاة من الزيت
سردين معلب,208,24,0,12,علبة صغيرة,100,علبة سردين مصفاة من الزيت
جبنة بيضاء,264,18,1.6,21,100 جرام,100,100 جرام جبنة بيضاء
جبنة رومي,369,23,3,30,100 جرام,100,100 جرام جبنة رومي
فستق حلبي,562,20,28,45,100 جرام,100,100 جرام فستق حلبي
لوز,579,21,22,50,100 جرام,100,100 جرام لوز نيء
كاجو,553,18,30,44,100 جرام,100,100 جرام كاجو نيء
جوز (عين جمل),654,15,14,65,100 جرام,100,100 جرام عين جمل
سمسم,573,17,23,50,100 جرام,100,100 جرام سمسم
طحينة,595,17,21,53,ملعقة طعام,15,ملعقة طعام طحينة
شوفان,389,17,66,7,100 جرام,100,100 جرام شوفان
ذرة فشار بدون زيت,387,13,78,4.5,100 جرام,100,100 جرام فشار بدون زيت
حلاوة طحينية,516,12,55,30,100 جرام,100,100 جرام حلاوة طحينية
كشري مصري,320,10,55,8,طبق متوسط,300,طبق كشري متوسط الحجم
محشي كرنب,210,7,30,8,3 وحدات,150,3 وحدات محشي كرنب
محشي ورق عنب,190,5,25,8,10 وحدات,100,10 وحدات محشي ورق عنب
ملوخية مطبوخة,60,3,7,2,طبق صغير,150,طبق صغير ملوخية مطبوخة
بامية مطبوخة,50,2,8,1.5,طبق صغير,150,طبق صغير بامية مطبوخة
فاصوليا بيضاء مطبوخة,127,8.7,23,0.5,نصف كوب,100,نصف كوب فاصوليا بيضاء مطبوخة
لوبيا مطبوخة,115,7,20,0.8,نصف كوب,100,نصف كوب لوبيا مطبوخة
قلقاس مطبوخ,70,1.5,15,0.4,طبق صغير,150,طبق قلقاس مطبوخ
كوارع,380,30,0,28,قطعة,100,قطعة كوارع مسلوقة
كبده دجاج,135,21,1,5,100 جرام,100,100 جرام كبدة دجاج مشوية
قلوب دجاج,140,20,1,6,100 جرام,100,100 جرام قلوب دجاج
كبدة بقري,191,29,5,7,100 جرام,100,100 جرام كبدة بقري
عكاوي,250,24,0,18,قطعة متوسطة,100,قطعة عكاوي مسلوقة
مخ,301,13,2,27,100 جرام,100,100 جرام مخ مسلوق
كوارع,380,30,0,28,100 جرام,100,100 جرام كوارع مسلوقة
سمان مشوي,240,28,0,14,قطعة متوسطة,100,قطعة سمان مشوي
حمام محشي,320,25,20,18,قطعة متوسطة,250,قطعة حمام محشي أرز
رز بسمتي,120,2.5,26,0.5,نصف كوب,100,نصف كوب رز بسمتي مطبوخ
